status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Senior Java Developer, Investment Accounting",PIMCO,"New York, NY",2025-09-27,You will be working with a worldwide team of developers and will be expected to do some level 2 support. Run technology pro bono programs that help the non-profit community and give our engineering…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=fccd5ab59cea307a,IndeedScraperUSAEng_fccd5ab59cea307a,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$175000 - $240000 yearly,UNKNOWN
NEW,Quantitative/Data Developer - Fixed Income,Susquehanna International Group,"Bala-Cynwyd, PA",2025-10-02,"Strong interpersonal and communication skills for interacting with traders, quantitative analysts, and other software developers is required. You’ll work alongside traders, quant analysts, and other…",,https://www.indeed.com/m/viewjob?jk=877076f71aab2dc2,IndeedScraperUSAEng_877076f71aab2dc2,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,,UNKNOWN
NEW,"Senior Engineer, Python",Magnite,"New York, NY",2025-10-04,"Collaborate with team members to design, implement, and deliver high-quality software solutions. Work closely with cross-functional teams to ensure alignment and successful project outcomes.","Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Employee stock purchase plan, Disability insurance, 401(k) matching, Gym membership, Parental leave, Life insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=8eb92da90f583a12,IndeedScraperUSAEng_8eb92da90f583a12,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$125000 - $165000 yearly,TEMPORARILY_REMOTE
NEW,Programmer Lead Data Scientist,Princeton University,"Princeton, NJ 08542",2025-09-27,Experience with machine learning techniques and their integration into agent-based models. The Violence and Inequality Project (VIP) is seeking a full-time Programmer/Data Scientist.,"Job types: Full-time
Job types cc: Full-time
Schedules: No overtime",https://www.indeed.com/m/viewjob?jk=ced92e766c8a39be,IndeedScraperUSAEng_ced92e766c8a39be,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$117000 - $129000 yearly,UNKNOWN
NEW,Senior Applications Developer,Regeneron,"Tarrytown, NY",2025-09-27,"Engineer intelligent data pipelines using TypeScript, Python, and AWS that process massive genetic datasets with speed and precision. Optimize for performance at scale —craft sophisticated SQL queries…","Job types: Full-time
Benefits: Paid time off
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=67625d9d4fd1892a,IndeedScraperUSAEng_67625d9d4fd1892a,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$92500 - $151100 yearly,UNKNOWN
NEW,C++ Quantitative Developer | Trading Strategies | Experienced,Susquehanna International Group,"New York, NY",2025-10-07,This is a computationally intensive role that will allow you to utilize both your data analysis and technology skills. We’re looking for someone who has experience with highly performance-sensitive…,,https://www.indeed.com/m/viewjob?jk=997355693d0a9906,IndeedScraperUSAEng_997355693d0a9906,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$175000 - $225000 yearly,UNKNOWN
NEW,Gen AI Search Engineer,Morgan Stanley,"New York, NY 10036",2025-09-27,"You will design, develop, and implement intelligent search solutions that provide users with intuitive, contextually rich, and highly relevant information.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b4d4bf3e77a0ebca,IndeedScraperUSAEng_b4d4bf3e77a0ebca,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$120000 - $165000 yearly,UNKNOWN
NEW,Java Developer,Tradeweb Markets,"Jersey City, NJ",2025-09-27,"Collaborate with clients to create and build solutions that drive efficiency, connectivity, and transparency in electronic trading. Tradeweb Direct is seeking a mid-level Java Developer with strong…","Job types: Full-time
Remote: Remote
Benefits: Dental insurance, 401(k), Flexible spending account, Commuter assistance, Employee assistance program, 401(k) matching, Tuition reimbursement, Vision insurance, Parental leave, Gym membership, Health insurance, Travel reimbursement, Adoption assistance, Pet insurance, Paid time off
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b1b7b031c6a15981,IndeedScraperUSAEng_b1b7b031c6a15981,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$150000 - $250000 yearly,FULLY_REMOTE
NEW,"Software Engineer, Commodities Team - Global Banking & Markets - Associate or Vice President - New York",Goldman Sachs,"New York, NY 10282",2025-10-14,"Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning…","Job types: Full-time
Benefits: Dental insurance, Health insurance, Adoption assistance, Travel reimbursement, Childcare, Employee assistance program, Disability insurance, Parental leave, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=70ceb9396f8143d7,IndeedScraperUSAEng_70ceb9396f8143d7,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$150000 - $250000 yearly,UNKNOWN
NEW,Software Engineer/Data Scientist (Director),Ankura,"New York, NY 10017",2025-09-27,"Ankura’s research and development lab, the Analytics Institute, uses real-world data sets to evaluate the behavior, accuracy, and effectiveness of AI, machine learning, and other advanced analytics…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=34349cac79399df8,IndeedScraperUSAEng_34349cac79399df8,IndeedScraperUSAEng,Python developer Machine Learning Java developer,USA_ENGLISH,$85000 - $200000 yearly,TEMPORARILY_REMOTE
